foodName,foodImg,previewImg,foodCategoryId,foodArea,foodDesc,isDrink,foodInstruction,foodIngredients,preparationTime,cookingTime,difficulty,comments,likesUsers,timestamp
"Margherita Pizza","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb510lsAzgF1n_o98uVaUQICrAZhQXOFpCeA&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb510lsAzgF1n_o98uVaUQICrAZhQXOFpCeA&s","6624c222ca3cc2175f659809","Italy","Classic pizza with tomatoes, mozzarella, and basil.",false,"1. Preheat oven. 2. Spread sauce on dough. 3. Add cheese and toppings. 4. Bake until crust is golden.","Pizza dough, Tomato sauce, Mozzarella cheese, Fresh basil",20,15,"Easy",[],[],2024-08-24
"Pepperoni Pizza","https://www.simplyrecipes.com/thmb/KE6iMblr3R2Db6oE8HdyVsFSj2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2019__09__easy-pepperoni-pizza-lead-3-1024x682-583b275444104ef189d693a64df625da.jpg","https://www.simplyrecipes.com/thmb/KE6iMblr3R2Db6oE8HdyVsFSj2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2019__09__easy-pepperoni-pizza-lead-3-1024x682-583b275444104ef189d693a64df625da.jpg","6624c222ca3cc2175f659809","Italy","Pizza topped with spicy pepperoni slices and cheese.",false,"1. Preheat oven. 2. Spread sauce on dough. 3. Add cheese and pepperoni. 4. Bake until crisp.","Pizza dough, Tomato sauce, Mozzarella cheese, Pepperoni",20,15,"Easy",[],[],2024-08-24
"Paneer Tikka","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgPLI2SAwE7I-9JxHBe3CV56yGOVY1PWBQ9A&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgPLI2SAwE7I-9JxHBe3CV56yGOVY1PWBQ9A&s","66c89de4a7bd26d66142db5d","India","Marinated paneer cubes grilled to perfection.",false,"1. Marinate paneer. 2. Skewer and grill. 3. Serve with chutney.","Paneer, Yogurt, Spices, Lemon juice",30,20,"Medium",[],[],2024-08-24
"Chicken Tikka Masala","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUcNTu6mSvUxTmg0k8qX70DsuxwrG-FqC29g&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUcNTu6mSvUxTmg0k8qX70DsuxwrG-FqC29g&s","66c89de4a7bd26d66142db5d","India","Grilled chicken in a rich, creamy tomato-based sauce.",false,"1. Marinate chicken. 2. Grill chicken. 3. Prepare sauce. 4. Combine and simmer.","Chicken, Tomato sauce, Cream, Spices",45,30,"Hard",[],[],2024-08-24
"Spaghetti Carbonara","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1001491_11-2e0fa5c.jpg?quality=90&resize=440,400","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1001491_11-2e0fa5c.jpg?quality=90&resize=440,400","66c89de4a7bd26d66142db5d","Italy","Creamy pasta with eggs, cheese, and pancetta.",false,"1. Cook spaghetti. 2. Prepare sauce. 3. Combine and serve.","Spaghetti, Eggs, Parmesan cheese, Pancetta",15,15,"Easy",[],[],2024-08-24
"Kung Pao Chicken","https://www.chilipeppermadness.com/wp-content/uploads/2021/03/Kung-Pao-Chicken-SQ-500x500.jpg","https://www.chilipeppermadness.com/wp-content/uploads/2021/03/Kung-Pao-Chicken-SQ-500x500.jpg","66c89de4a7bd26d66142db5f","China","Stir-fried chicken with peanuts and vegetables in a spicy sauce.",false,"1. Cook chicken. 2. Stir-fry vegetables. 3. Add sauce and peanuts. 4. Serve hot.","Chicken, Peanuts, Bell peppers, Soy sauce",20,15,"Medium",[],[],2024-08-24
"Sweet and Sour Pork","https://cdn.sanity.io/images/2r0kdewr/production/0bc6f529c1200c84a8465d9317c3029898a4d4fa-1500x844.jpg","https://cdn.sanity.io/images/2r0kdewr/production/0bc6f529c1200c84a8465d9317c3029898a4d4fa-1500x844.jpg","66c89de4a7bd26d66142db5f","China","Crispy pork in a tangy, sweet, and sour sauce.",false,"1. Cook pork. 2. Prepare sauce. 3. Combine and stir-fry. 4. Serve with rice.","Pork, Pineapple, Bell peppers, Vinegar",25,20,"Medium",[],[],2024-08-24
"Tacos","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCZZ2CyIz6hiwMuudloMFOPFsmKkmhqO-WJw&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCZZ2CyIz6hiwMuudloMFOPFsmKkmhqO-WJw&s","66c89de4a7bd26d66142db60","Mexico","Soft or crispy tortillas filled with seasoned meat, cheese, and vegetables.",false,"1. Prepare filling. 2. Warm tortillas. 3. Assemble tacos. 4. Serve with toppings.","Tortillas, Ground beef, Cheese, Lettuce",30,10,"Easy",[],[],2024-08-24
"Chicken Enchiladas","https://www.allrecipes.com/thmb/laVb99o9XzDZdX2nMbNXY-vrzak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8694-Chicken-Enchildas-ddmfs-178-4x3-b212961062d64c1bbeae21697a681222.jpg","https://www.allrecipes.com/thmb/laVb99o9XzDZdX2nMbNXY-vrzak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8694-Chicken-Enchildas-ddmfs-178-4x3-b212961062d64c1bbeae21697a681222.jpg","66c89de4a7bd26d66142db60","Mexico","Corn tortillas filled with chicken and cheese, covered in enchilada sauce.",false,"1. Prepare filling. 2. Roll tortillas. 3. Bake with sauce. 4. Serve hot.","Chicken, Tortillas, Cheese, Enchilada sauce",45,30,"Medium",[],[],2024-08-24
"Croissant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoPD4zUoTBei_LVLmT5uIoM4gXcYoz135AGw&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoPD4zUoTBei_LVLmT5uIoM4gXcYoz135AGw&s","66c89de4a7bd26d66142db61","France","Buttery, flaky pastry often enjoyed with coffee or tea.",false,"1. Prepare dough. 2. Roll and fold layers. 3. Shape into croissants. 4. Bake until golden.","Flour, Butter, Yeast, Sugar",120,20,"Hard",[],[],2024-08-24
"Ratatouille","https://www.example.com/ratatouille.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db61","France","Vegetable stew with tomatoes, zucchini, eggplant, and bell peppers.",false,"1. Sauté vegetables. 2. Add tomatoes and seasonings. 3. Simmer until tender. 4. Serve warm.","Tomatoes, Zucchini, Eggplant, Bell peppers",30,30,"Medium",[],[],2024-08-24
"Tom Yum Goong","https://www.example.com/tom_yum_goong.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db62","Thailand","Spicy and sour shrimp soup with lemongrass and kaffir lime leaves.",false,"1. Boil broth. 2. Add shrimp and vegetables. 3. Season with herbs. 4. Serve hot.","Shrimp, Lemongrass, Kaffir lime leaves, Chili peppers",30,15,"Medium",[],[],2024-08-24
"Pad Thai","https://www.example.com/pad_thai.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db62","Thailand","Stir-fried rice noodles with tamarind, peanuts, and shrimp or chicken.",false,"1. Cook noodles. 2. Stir-fry with ingredients. 3. Add sauce. 4. Serve with lime and peanuts.","Rice noodles, Tamarind, Shrimp, Peanuts",20,15,"Medium",[],[],2024-08-24
"Beef Stroganoff","https://www.example.com/beef_stroganoff.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db61","France","Creamy beef stew with mushrooms and onions, served over noodles or rice.",false,"1. Cook beef and mushrooms. 2. Add cream and seasonings. 3. Serve over noodles or rice.","Beef, Mushrooms, Onions, Cream",30,25,"Hard",[],[],2024-08-24
"Crêpes","https://www.example.com/crepes.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db61","France","Thin pancakes that can be filled with sweet or savory ingredients.",false,"1. Prepare batter. 2. Cook crêpes. 3. Fill with desired ingredients. 4. Serve with toppings.","Flour, Eggs, Milk, Butter",20,10,"Easy",[],[],2024-08-24
"Chicken Quesadilla","https://www.example.com/chicken_quesadilla.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db60","Mexico","Tortilla filled with chicken and cheese, grilled until crispy.",false,"1. Prepare filling. 2. Place in tortilla. 3. Grill until cheese melts. 4. Cut and serve.","Tortillas, Chicken, Cheese, Salsa",20,10,"Easy",[],[],2024-08-24
"Guacamole","https://www.example.com/guacamole.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db60","Mexico","Avocado dip with lime, onions, and cilantro, often served with chips.",false,"1. Mash avocados. 2. Mix in other ingredients. 3. Serve with chips.","Avocados, Lime, Onion, Cilantro",10,5,"Easy",[],[],2024-08-24
"Lasagna","https://www.example.com/lasagna.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5d","Italy","Layered pasta dish with meat, cheese, and tomato sauce.",false,"1. Prepare meat sauce. 2. Layer pasta and sauce. 3. Bake until bubbly. 4. Serve hot.","Lasagna noodles, Ground beef, Cheese, Tomato sauce",60,45,"Hard",[],[],2024-08-24
"Caesar Salad","https://www.example.com/caesar_salad.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5d","Italy","Salad with romaine lettuce, croutons, Parmesan cheese, and Caesar dressing.",false,"1. Toss lettuce with dressing. 2. Add croutons and cheese. 3. Serve immediately.","Romaine lettuce, Croutons, Parmesan cheese, Caesar dressing",15,10,"Easy",[],[],2024-08-24
"French Onion Soup","https://www.example.com/french_onion_soup.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db61","France","Rich soup made with caramelized onions and beef broth, topped with melted cheese.","false","1. Sauté onions. 2. Add broth and simmer. 3. Top with cheese and toast. 4. Serve hot.","Onions, Beef broth, Gruyère cheese, Bread",45,30,"Medium",[],[],2024-08-24
"Baguette","https://www.example.com/baguette.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db61","France","Classic French bread with a crisp crust and soft interior.",false,"1. Prepare dough. 2. Shape and proof. 3. Bake until golden. 4. Cool before serving.","Flour, Yeast, Water, Salt",90,25,"Medium",[],[],2024-08-24
"Tom Kha Gai","https://www.example.com/tom_kha_gai.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db62","Thailand","Coconut milk soup with chicken and galangal, with a touch of spice.",false,"1. Boil coconut milk. 2. Add chicken and galangal. 3. Season with herbs. 4. Serve hot.","Chicken, Coconut milk, Galangal, Chili peppers",30,15,"Medium",[],[],2024-08-24
"Beef Bourguignon","https://www.example.com/beef_bourguignon.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db61","France","Slow-cooked beef stew in red wine with mushrooms and onions.",false,"1. Brown beef. 2. Add wine and vegetables. 3. Simmer for hours. 4. Serve with bread.","Beef, Red wine, Mushrooms, Onions",120,180,"Hard",[],[],2024-08-24
"Chicken Satay","https://www.example.com/chicken_satay.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db62","Thailand","Grilled chicken skewers served with a peanut dipping sauce.",false,"1. Marinate chicken. 2. Skewer and grill. 3. Serve with peanut sauce.","Chicken, Peanut butter, Soy sauce, Spices",45,20,"Medium",[],[],2024-08-24
"Fried Rice","https://www.example.com/fried_rice.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5f","China","Stir-fried rice with vegetables, eggs, and choice of meat.",false,"1. Cook rice. 2. Stir-fry vegetables and meat. 3. Add rice and seasonings. 4. Serve hot.","Rice, Eggs, Vegetables, Soy sauce",20,10,"Easy",[],[],2024-08-24
"Dim Sum","https://www.example.com/dim_sum.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5f","China","A variety of small dishes, such as dumplings and buns, typically served with tea.","false","1. Prepare and steam dim sum. 2. Serve with dipping sauces.","Dumpling wrappers, Meat, Vegetables, Soy sauce",30,20,"Medium",[],[],2024-08-24
"Goulash","https://www.example.com/goulash.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5f","Hungary","Hearty stew with beef, potatoes, and paprika.",false,"1. Brown beef. 2. Add potatoes and paprika. 3. Simmer until tender. 4. Serve hot.","Beef, Potatoes, Paprika, Onions",60,45,"Hard",[],[],2024-08-24
"Chili Con Carne","https://www.example.com/chili_con_carne.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5f","Mexico","Spicy beef stew with beans and tomatoes, seasoned with chili spices.",false,"1. Brown beef. 2. Add beans and tomatoes. 3. Simmer with spices. 4. Serve with bread.","Beef, Beans, Tomatoes, Chili spices",45,30,"Medium",[],[],2024-08-24
"Beef Tacos","https://www.example.com/beef_tacos.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5d","Mexico","Soft or crispy tortillas filled with seasoned beef, cheese, and vegetables.",false,"1. Prepare beef filling. 2. Warm tortillas. 3. Assemble tacos. 4. Serve with toppings.","Tortillas, Ground beef, Cheese, Lettuce",30,10,"Easy",[],[],2024-08-24
"Margherita Pizza","https://www.example.com/margherita_pizza.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","6624c222ca3cc2175f659809","Italy","Classic pizza with tomatoes, mozzarella, and basil.",false,"1. Preheat oven. 2. Spread sauce on dough. 3. Add cheese and toppings. 4. Bake until crust is golden.","Pizza dough, Tomato sauce, Mozzarella cheese, Fresh basil",20,15,"Easy",[],[],2024-08-24
"Vegetable Samosas","https://www.example.com/vegetable_samosas.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5d","India","Deep-fried pastry filled with spiced potatoes and peas.",false,"1. Prepare filling. 2. Fill pastry and seal. 3. Deep-fry until golden. 4. Serve with chutney.","Potatoes, Peas, Pastry dough, Spices",30,15,"Medium",[],[],2024-08-24
"Chole Bhature","https://www.example.com/chole_bhature.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5d","India","Spicy chickpea curry served with deep-fried bread.","false","1. Prepare chickpea curry. 2. Make dough and fry bread. 3. Serve hot together.","Chickpeas, Flour, Spices, Yogurt",60,30,"Medium",[],[],2024-08-24
"Falafel","https://www.example.com/falafel.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5f","Middle Eastern","Deep-fried balls made from ground chickpeas or fava beans.","false","1. Prepare mixture. 2. Shape into balls. 3. Deep-fry until crispy. 4. Serve with tahini sauce.","Chickpeas, Herbs, Spices, Onion",30,20,"Medium",[],[],2024-08-24
"Shakshuka","https://www.example.com/shakshuka.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5d","Middle Eastern","Poached eggs in a spicy tomato and pepper sauce.",false,"1. Prepare sauce. 2. Add eggs and cook. 3. Serve with bread.","Tomatoes, Eggs, Peppers, Spices",30,20,"Medium",[],[],2024-08-24
"Baklava","https://www.example.com/baklava.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5d","Middle Eastern","Sweet pastry made of layers of filo dough, filled with nuts and honey.","false","1. Layer filo dough and nuts. 2. Bake until golden. 3. Drizzle with honey. 4. Serve cooled.","Filo dough, Nuts, Honey, Butter",60,30,"Hard",[],[],2024-08-24
"Green Curry","https://www.example.com/green_curry.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db62","Thailand","Spicy and aromatic curry made with green curry paste and coconut milk.",false,"1. Cook curry paste. 2. Add coconut milk and vegetables. 3. Simmer until tender. 4. Serve hot.","Green curry paste, Coconut milk, Vegetables, Meat (optional)",45,30,"Medium",[],[],2024-08-24
"Gyro","https://www.example.com/gyro.jpg","https://media.istockphoto.com/id/168731372/photo/fresh-homemade-chocolate-brownie.jpg?s=612x612&w=0&k=20&c=DOWddwc5EBO7gedFIL7SC5absmtACBOefRRc8YLyh-w=","66c89de4a7bd26d66142db5e","Greece","Grilled meat, usually lamb, served in pita bread with vegetables and sauce.","false","1. Prepare meat and sauce. 2. Grill meat. 3. Serve in pita with vegetables.","Lamb, Pita bread, Vegetables, Sauce",30,20,"Medium",[],[],2024-08-24
